NEG,loss:lost
NEU,level
NEU,synergiz
NEU,contrib
NEG,co-suppress
NEG,abolish:abolished|abolishment|abolish|abolishes|abolition|abolishing
NEG,abrogat:abrogate|abrogates|abrogation|abrogates
NEU,acceler:accelerate|accelerates|accelerated|accelerating|acceleration
NEU,accelerat:accelerated|accelerate|accelerator|accelerates|acceleratory|accelerating|acceleration
POS,accumul:accumulate|accumulates|accumulation|accumulated
POS,acetylat:acetylator|acetylations|acetylated|acetylation|acetylate|acetylating|acetylates|acetylatable
POS,acquir:acquired|acquirement|acquiring|acquires|acquire
INT,act:acting|acts|act
INT,activ:active|activity|activities
INT,activat:activations|activates|activatory|activational|activation|activated|activate|activator|activating|activatable|activators
INT,adapt:adapter|adapters
BOOST,add:add|adds|added|adding
BOOST,addit:addition|additions
INT,adhe:adhere|adheres|adherence|adhesion
INT,adher:adhere|adheres|adhered|adherance
NEU,affect:affective|affected|affect|affects|affection|affecting
INT,aggregat:aggregatory|aggregations|aggregate|aggregative|aggregates|aggregating|aggregat|aggregated|aggregation
NEG,agoni:agonism|agonise|agonistic|agonimus|agonists|agonist|agonises
CHANGE,alter:alternations|alternatives|alteration|alter|alternation|alternative|alternated|alternate|alterations|altering|alters|alternating|altered
POS,amplif:amplifying|amplification|amplify|amplifier|amplified|amplifiers
NEG,antagoni:antagonisms|antagonist|antagonism|antagonistic|antagonize|antagonists|antagonised
NAN,apparat:apparatus
COMBINE,assembl:assemble|assembles|assembly|assemblies|assembling
POS,assist:assist|assists|assisting|assistance|assisted
COMBINE,associat:associated|associating|associates|associate|associational|association|associations|associative
COMBINE,attach:attach|attaches|attached|attachment
BOOST,attack:attacking|attacks|attack|attacked
POS,attenuat:attenuate|attenuator|attenuation|attenuates|attenuating|attenuated|attenuative
POS,augment:augmented|augmenting|augment|augmentary|augmentative|augmentation|augmentations|augments|augmentory|augmenter
CHANGE,autophosphorylat:autophosphorylated|autophosphorylation|autophosphorylates|autophosphorylate
NEU,autoregulat:autoregulation|autoregulated|autoregulate|autoregulates|autoregulatory
COMBINE,bind:bind|binder|binders|binds|binding
NEG,block:blockable|blocked|blocks|blockades|blockers|blockade|blockaded|block|blocker|blocking
COMBINE,bound:boundary|boundaries|bounds|bounded|bound
CHANGE,carboxyl:carboxylating|carboxylation|carboxylmethylation|carboxylates|carboxylated|carboxylases|carboxylate
POS,cataly:catalyses|catalysing|catalytically|catalyzed|catalytic|catalyzing|catalyst|catalysis|catalyze|catalysts|catalysed|catalyse|catalytical|catalyzes
CHANGE ,cleav:cleavages|cleavable|cleaved|cleavage|cleaves|cleaving|cleave|clove
COMBINE,cluster:cluster
NEU,co-operat:co-operative|co-operates|co-operate|co-operated|co-operation|co-operating
COMBINE,co-precipit:co-precipitation|co-precipitate|co-precipitated|co-precipitates|co-precipitating
COMBINE,co-purifi:co-purificates|co-purificated|co-purificate|co-purification
NEU,coactivat:coactivate|coactivation|coactivating|coactivator|coactivated|coactivates|coactivators
NEU,coexist:coexisted|coexisting|coexistent|coexistence|coexist|coexists
NEU,coexpres:coexpression|coexpressed|coexpresses
NEU,colocaliz:colocalizing|colocalizes|colocalized|colocalization|colocalize|colocalizations
NEU,compet:competent|competed|competitiveness|competitive|competes|competitor|competency|competition|compete|competitors|competing|competence
COMBINE,complex:complexation|complexity|complexities|complex|complexing|complexes|complexed
COMBINE,component:component
COMBINE,compris:comprise|comprises|comprised
COMBINE,conjugat:conjugates|conjugational|conjugating|conjugations|conjugated|conjugative|conjugate|conjugation
INT,contact:contact|contacted|contacts
INT,contain:contain|contains|contained|containing
NEU,control:controller|control|controlling|controls|controlled
NEU,convers:converse|converses|conversion|conversed
CHANGE,convert:converts|convertion|converted|convert|converting
COMBINE,cooperat:cooperative|cooperates|cooperate|cooperated|cooperation|cooperating
COMBINE,coprecipit:coprecipitation|coprecipitate|coprecipitated|coprecipitates|coprecipitating
COMBINE,copurifi:copurificates|copurificated|copurificate|copurification
NEU,correlat:correlation|correlate|correlated|correlating|correlations|correlates
NEG,counteract:counteract|counteracts|counteracted|counteraction
COMBINE,coupl:coupling|couplers|couple|coupled|coupler
INT,cross-link:cross-link|cross-links|cross-linked|cross-linkage|cross-linkages
INT,cross-talk:cross-talk|cross-talked|cross-talking
INT,crosslink:crosslinkage|crosslinked|crosslinker|crosslinking|crosslinkable|crosslink|crosslinks|crosslinkers
INT,crosstalk:crosstalk|crosstalked|crosstalking
CHANGE,deacetylat:deacetylates|deacetylation|deacetylate|deacetylated
NEG,declin:declining|declines|decline|declined
NEG,decreas:decrease|decreasing|decreased|decreases
NEG,degrad:degradative|degrade|degradability|degradable|degrades|degrading|degradation|degraded|degradations
INT,depend:dependent|dependant|dependence|dependences|dependencies|depended|dependently|dependency|depending|depends|depend|dependent
CHANGE,dephosphorylat:dephosphorylating|dephosphorylated|dephosphorylate|dephosphorylation|dephosphorylates
INT,deplet:deplete|depletes|depleted|depletion
COMBINE,deposi:deposit|deposits|deposited|deposition
CHANGE,depress:depressing|depression|depressants|depresses|depressed|depress
CHANGE,deriv:derive|derived|derives
NEG,destruct:destructively|destruct|destruction|destructive
COMBINE,dimer:dimer|dimerize|dimerizes|dimerization|dimerise|dimerises|dimerisation
NEU,diminish:diminished|diminishes|diminishing|diminish|diminishment
COMBINE,dissociat:dissociated|dissociative|dissociation|dissociating|dissociate|dissociates
NEG,down-regulat:down-regulating|down-regulators|down-regulator|down-regulation|down-regulatory|down-regulate|down-regulated|down-regulates
NEG,downregulat:downregulated|downregulator|downregulatory|downregulating|downregulates|downregulate|downregulation|downregulators
INT,effect:effective|effect|effects|effecting|effectual|effectiveness|effected
POS,elevat:elevating|elevation|elevates|elevated|elevate
INT,encod:encoded|encode|encoding|encodes
POS,enhanc:enhancers|enhancements|enhancement|enhancer|enhance|enhancing|enhanced|enhances
POS,enrich:enrich|enriches|enrichment|enriching
INT,exert:exert|exerts|exertion|exerting
INT,exhibit:exhibits|exhibit|exhibited
INT,expos:expose|exposes|exposed|exposition|exposing
NEU,express:expressed|expressible|expresses|express|expression|expressive|expressions|expressing
COMBINE,form:forms|formations|formation|formed|form|formability|forming
NEU,functio:function|functions
COMBINE,fuse:fuse|fuses|fused|fusion
POS,generat:generator|generations|generated|generates|generation|generating|generate
CHANGE,glucosyl:glucosylate|glucosylated|glucosylates|glucosylation|glucosylations|glucosylating
CHNAGE,glycosyl:glycosylate|glycosylated|glycosylates|glycosylation|glycosylations|glycosylating
CHANGE,heterodimer:heterodimer|heterodimerize|heterodimerizes|heterodimerization|heterodimerise|heterodimerises|heterodimerisation
CHANGE,hydrol:hydrolysed|hydrolysis|hydrolyses|hydrolytic|hydrolyze|hydrolysing|hydrolyzing|hydrolyse|hydrolyzes|hydrolyzed
POS,hyperexpr:hyperexpresses|hyperexpressed|hyperexpression|hyperexpress
INT,imitat:imitation|imitate|imitating|imitations|imitated
CHANGE,immuno-precipit:immuno-precipitation|immuno-precipitate|immuno-precipitated|immuno-precipitates|immuno-precipitating
CHANGE,immunoprecipit:immunoprecipitation|immunoprecipitate|immunoprecipitated|immunoprecipitates|immunoprecipitating
INT,import:import|imports|importing
POS,improv:improvements|improves|improved|improving|improve|improvement
NEG,inactivat:inactivate|inactivator|inactivators|inactivated|inactivating|inactivations|inactivation|inactivates
INT,includ:include|included|includes
POS,increas:increasing|increase|increased|increases
POS,increment:increments|incremented|incremental|increment
POS,induc:induction|inducing|inducement|induce|inducible|inductions|inducer|induced|induceable|induces
INT,influenc:influencing|influences|influence|influenced
NEG,inhibit:inhibitions|inhibiton|inhibiting|inhibitors|inhibition|inhibited|inhibitory|inhibits|inhibit|inhibitive|inhibitor
POS,initiat:initiate|initiates|initiated|initiating|initiation|initiations
INT,interact:interacts|interactions|interactor|interact|interacted|interactors|interactively|interactive|interacting|interaction
NEG,interfer:interfere|interference|interfered|interfering|interferes
NEG,interrupt:interrupting|interrupted|interrupts|interruption|interrupt|interruptions
NEG,knockdown:knock-down|knockdown|knocked-down
COMBINE,ligand:ligand|ligands
CHANGE,mediat:mediators|mediator|mediate|mediating|mediates|mediation|mediated
INT,migrat:migrate|migrates|migrated|migration
INT,mobili:mobilises|mobility|mobilising|mobilised|mobilisations|mobilise|mobilized|mobilize|mobilizes|mobilization|mobilisation|mobilizing|mobilizations
INT,moderat:moderation|moderate|moderated|moderating|moderates
CHANGE,modif:modifiers|modify|modification|modifications|modifier|modified|modifies|modifying
COMBINE,modulat:modulate|modulators|modulatory|modulaters|modulating|modulation|modulated|modulator|modulations|modulates
NEU,neutrali:neutralized|neutralizer|neutralizing|neutralize|neutralises|neutralise|neutralization|neutralizations|neutralizes|neutralisation|neutralised|neutralising|neutrality
NEG,obstruct:obstruct|obstructs|obstructed|obstruction
INT,operat:operated|operating|operational|operator|operate|operations|operative|operators|operates|operation
INT,oppos:oppose|opposed|opposes|opposing|opposite|opposition
POS,overexpress:overexpresses|overexpression|overexpressing|overexpressions|overexpress|overexpressed|over-express
NEG,underexpress:underexpresses|underexpression|underexpressed|under-express
POS,overproduc:overproduce|overproduced|overproduces|overproducing|overproduction|overproductions
CHANGE,oxidis:oxidise|oxidised|oxidises|oxidation|oxidising|oxidizing
CHANGE,oxidiz:oxidizes|oxidized|oxidation|oxidize|oxidizing
CHANGE,phosphorylat:phosphorylated|phosphorylations|phosphorylating|phosphorylate|phosphorylation|phosphorylates
POS,potentiat:potentiates|potentiation|potentiators|potentiate|potentiator|potentiated|potentiating
NEG,prevent:preventative|prevents|prevention|preventing|preventive|preventable|prevent|prevented
INT,process:process|processes|processing|processed
NEU,produc:producibility|productively|productive|productions|production|producers|produced|productivity|product|producer|produces|products|producing|produce
NEG,prohibit:prohibit|prohibiting|prohibition|prohibitively|prohibits|prohibited
POS,promot:promoting|promote|promoter|promoters|promotion|promoted|promotes
INT,react:react|reactivities|reactivated|reactor|reactivty|reacts|reactions|reaction|reacted|reactive|reactors|reactivity|reacting|reactants
INT,recogni:recognizes|recognized|recognize|recognition|recognizing|recognizable|recognised
POS,recruit:recruitment|recruiting|recruitable|recruits|recruit|recruiter|recruited
NEG,reduc:reductants|reductions|reduces|reducing|reductant|reduced|reduce|reduction
NEU,regulat:regulative|regulates|regulating|regulations|regulate|regulator|regulated|regulatory|regulation|regulators|regulon
POS,releas:released|releasing|release|releases
NEG,remov:removes|removable|remove|removed|removal|removing
INT,replac:replaced|replace|replaces|replacements|replacing|replacement
NEG,repress:repressors|repressive|represses|repress|repressor|repressing|repressed|repression|repressions
INT,requir:requiring|requires|require|required
NEU,respond:respond|responded|responds|responder|respondent|responders|respondents|responding
NEU,respons:responsive|responsiveness|response|responses|responsing
INT,result:result|resulted|resulting|results
POS,secret:secret|secreting|secretion|secretary|secretions|secretes|secrete|secretors|secreted|secretory
NEU,sever:severs|severed|sever
INT,signal:signal|signals|signaled|signaling
INT,splice:splice|splices|spliced|splicing
NEU,stabili:stabilises|stabilized|stability|stabilizes|stabilizer|stabilisation|stabilising|stabilised|stabilizers|stabilities|stabilise|stabilize|stabilizing|stabilization|stabiliser
POS,stimulat:stimulated|stimulation|stimulating|stimulates|stimulatory|stimulations|stimulate|stimulator|stimulators
INT,subunit:subunit|subunits
NEG,suppress:suppressed|suppress|suppressor|suppresser|suppression|suppressive|suppresssion|suppressibility|suppressant|suppresses|suppressions|suppressing|suppressible|suppressors
NEG,suspend:suspend|suspends|suspended|suspending
POS,synthesis:synthesise|synthesising|synthesis|synthesised
INT,target:target|targets|targeted
INT,transactivat:transactivated|transactivator|transactivates|transactivation|transactivators|transactivating|transactivate
INT,transcri:transcription|transcribe|transcribed|transcribes|transcriptions|transcribing|transcript
NEU,transduc:transduce|transductions|transducing|transduction|transducible|transducer|transduced|transducers|transduces|transductional
INT,translat:translationally|translations|translate|translated|translates|translating|translation|translational|translatable
INT,translocat:translocating|translocated|translocation|translocational|translocations|translocates|translocate|translocator
INT,transport:transport|transports|transporting
INT,transregulat:transregulation|transregulated|transregulate|transregulates|transregulatory
INT,trigger:triggering|trigger|triggers|triggered
POS,up-regulat:up-regulatory|up-regulation|up-regulator|up-regulating|up-regulates|up-regulate|up-regulators|up-regulations|up-regulated
POS,upregulat:upregulator|upregulates|upregulation|upregulators|upregulatory|upregulating|upregulated|upregulate
INT,us:use|uses|used|using
INT,utilis:utilising|utilises|utilised|utilisation|utilise
INT,utiliz:utilized|utilization|utilizing|utilize|utilizes
BOOST,yield:yield|yields|yielded
